CUI,CAEN,ACTIVE IMOBILIZATE - TOTAL,ACTIVE CIRCULANTE - TOTAL din care:,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI - TOTAL din care:,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profitul brut,Pierdere bruta,Profitul net,Pierdere neta,Numar mediu de salariati
8008620,4789,,41459,1034,35790,4635,,945,,,40514,200,,26896,26896,17122,9774,0,9235,0,1
8157265,4773,4641831,6587042,3453640,1764716,1368686,17743,8421174,0,0,2825442,396,0,40472676,40868718,39072801,1795917,0,1545580,0,110
8553910,1520,4713963,11393884,9281848,1751768,360268,27666,9887845,0,0,6247668,3000,0,46053714,48131232,47901526,229706,0,188243,0,190
8574327,3600,282688779,123846856,488682,112651630,10706544,41016,39461024,357164693,,9950934,7090000,,25660543,27181757,24351473,2830284,0,2292476,0,346
8621852,4673,4071142,8747389,5453120,2577730,716539,,2114713,,,10703818,323200,,44083258,45455543,43140689,2314854,0,2007779,0,69
8670570,3811,3107801,2416190,162183,2015922,238085,136302,3230416,16165,,2413712,1228450,,17901576,18100362,18027891,72471,0,72471,0,265
8698066,4939,23777923,15574172,310979,1695207,13567986,20737,10002596,12129,200000,29158107,4454384,,15345068,15645828,9443023,6202805,0,5119127,0,56
9049008,2221,10458362,12154096,3120551,6767214,2266331,32725,13028976,1235424,,8380783,100300,,37606703,38588422,36962971,1625451,0,1390771,0,44
9173021,4639,10573683,15313329,9053746,6096906,162677,673556,18472031,,2237,8086300,500000,,72052125,73232818,71393286,1839532,0,1551676,0,133
9205492,8690,48775348,17840391,3979163,8205174,5656054,1026017,28614976,,,39026780,8278580,,91674366,92792880,84358737,8434143,0,6808876,0,464
9484800,4941,27326589,13492016,884936,12231818,375262,1005712,39757033,,,2067284,7890,,84628196,97930678,96582368,1348310,0,1088902,0,228
9609520,6202,923253,12508875,131160,3889280,8488435,155934,2502506,,275736,10809820,3073820,,37526061,38431866,33552264,4879602,0,4101457,0,311
9670187,2222,22635882,14842676,4502863,9516371,715098,41843,23224989,,,14295412,10453330,,49242659,50369034,47380879,2988155,0,2855912,0,101
9719787,4690,1523553,17607428,8656126,6961386,1989916,93108,3359519,5135,976350,14883085,352370,,49332868,50620984,47001653,3619331,0,2949833,0,53
9735812,4931,1584677,1218300,194055,428637,595608,32970,1572734,393845,,869368,616790,,6996471,9275972,9140686,135286,0,109921,0,
9785225,146,23128357,18488295,16524315,891579,1072401,53271,36810231,,,4859692,200,,43709081,69299661,69068333,231328,0,177266,0,42
9808027,5630,7575007,10151285,821533,5768122,394724,,6855723,,137318,10733251,767551,,17780510,18741239,14714863,4026376,0,3370309,0,66
9822617,6201,486576,3565138,335520,1238780,1718984,,650760,,,3400954,10000,,9399107,9531798,8954983,576815,0,473282,0,82
9924498,1107,14709260,29249266,2350481,7588509,19310276,40150,4125970,,,39872706,135000,,33470058,33448117,28053519,5394598,0,4557621,0,87
9941928,2894,19452944,24472156,17031878,5680321,1759957,29137,15244279,,448537,28261421,27352110,,53421070,55331354,53154770,2176584,0,2067651,0,363
10041938,4619,8338196,24590844,21379,20298271,4271194,,21278063,,,11650977,11000,,108713561,109158883,103839542,5319341,0,4592062,0,20
10138656,3530,4303232,3092984,42446,2704230,346308,,4060150,,,3336066,2697948,,9572984,9676722,11307704,0,1630982,0,1630982,55
10152375,4673,5246221,19533766,8972776,7067023,3493967,,6672060,,,18107927,2700,,89880394,90159011,86117398,4041613,0,3481735,0,167
10188824,4774,2021173,12377931,5204644,3981536,3191751,24885,10788004,,,3635985,200,,20001837,20088423,17736239,2352184,0,2008502,0,46
10253388,4322,6356651,24368428,2804589,19860459,1703380,19150,12487108,,1271993,16985128,6112300,,13973047,14459371,15691617,0,1232246,0,1232246,120
10405877,2932,51537194,55254788,38755352,16220763,278673,487181,33113142,5751760,1519735,66894526,107833780,,172916554,178971566,184198387,0,5226821,0,5226821,436
10610111,4941,7841830,10202915,6590,8424892,1771433,10515,7818702,,505058,9731500,4908630,,39478024,40170106,39865169,304937,0,304937,0,70
10637850,1610,4682296,16202849,3340392,12762292,100165,,20000583,58335,,826227,2900000,,30202848,30742146,31189024,0,446878,0,446878,43
10705807,2222,21374259,14309736,4468844,6252485,3588407,8794,10175637,1783104,198621,23535427,4854730,,45136570,46445299,39629951,6815348,0,6008108,0,106
10790713,1310,27644121,28269564,19295735,6032817,2941012,70570,27841210,,274822,27868223,19710940,,79761085,81796558,79866899,1929659,0,1929659,0,178
11015244,4941,24659682,9723873,,9169996,553877,4025,29412895,,,4974685,700000,,25835561,29929054,26230650,3698404,0,3278650,0,53
11268484,4511,9262279,4933082,2136128,2368142,428812,,13282250,,,913111,181440,,38898451,39764528,39567648,196880,0,196880,0,59
