CUI,CAEN,ACTIVE IMOBILIZATE ,ACTIVE CIRCULANTE ,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI - TOTAL din care:,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profitul brut,Pierdere bruta,Profitul net,Pierdere neta,Numar mediu de salariati
22209548,5510,41781135,6365281,1642788,450974,4271519,1798101,55094790,,,-5150273,13577200,,9833258,10621733,12911621,0,2289888,0,2289888,77
24069246,6920,53353,34676,2032,9273,23371,,176549,,,-88520,200,,72152,73756,70078,3678,0,3678,0,1
25741956,210,6760181,488380,4878,419473,64029,,553778,,,6694783,,,1074952,1302501,1302048,453,0,0,0,18
25755455,4752,113792,1207753,372006,778783,56964,,875132,,,446413,220,,4830504,4830836,4315737,515099,0,445601,0,
26261034,5510,156928242,1847935,211780,822895,812592,48545,33795489,318810,,124710423,126699982,,24538884,24566246,24084040,482206,0,364830,0,199
27221372,3600,27057,893053,21959,508904,362190,869,221409,,,699570,490000,,2121319,2143272,1907408,235864,0,210139,0,34
27221380,8130,,185037,,1050,183987,,84684,,,100353,90000,,735957,742316,684816,57500,0,49706,0,17
27354450,8010,,29443,,29361,82,,26351,,,3092,200,,0,359434,338089,21345,0,20833,0,13
27820967,3511,177570,341539,138869,81328,121342,,275032,,,244077,2250,,425088,492151,458082,34069,0,29192,0,4
28281682,3600,,1986,,1984,2,,0,,,1986,30200,,65425,76080,74171,1909,0,1909,0,1
28510530,8622,5609,19253,,,19253,,0,,,24862,20000,,0,0,0,0,0,0,0,
31151518,3600,,27241,,15628,11613,,50695,,,-23454,200,,175775,175780,197961,0,22181,0,22181,4
32419318,3811,12863,17518,,4877,12641,,118056,,,-87675,200,,34145,34146,96665,0,62519,0,62519,3
33780913,4772,278907,51963336,37673266,14047454,195607,89906,56093772,,,-3761623,910030,,24910623,25068302,29927149,0,4858847,0,4858847,205
34434624,4673,1340025,8999358,5675892,1293587,2029879,44835,3769203,453652,,6161363,455930,,43785977,44096777,40980704,3116073,0,2803697,0,116
34963676,210,213228,2745071,275,410816,2333980,5227,626493,0,,2337033,,,3837971,3914573,1653620,2260953,0,1941050,0,18
35351080,2932,113002753,99506900,26926648,65351878,7228374,928020,177664100,0,,35773573,11000000,,225148189,233077953,262000903,0,28922950,0,28922950,215
35998419,9329,14841,110846,14901,13206,82739,,11143,,,114544,200000,,234856,234856,323157,0,88301,0,88301,
36806945,3600,,39809,,1924,37885,,29366,,,10443,10000,,137383,138181,137654,527,0,443,0,4
38103160,3600,,463,,,463,,207,,,256,500,,0,0,244,0,244,0,244,0
16067546,210,72941,1964425,51977,1593770,318678,,456997,,,1580369,,46440,2973939,2988241,2156085,832156,0,698671,0,27
16420680,210,,,,,,,0,,,0,,,0,0,,0,0,0,0,
17429946,210,629438,3398902,198873,1528219,1671810,,1236462,,58000,2733878,,12000,6317192,7065949,4093438,2972511,0,2494148,0,34
25327840,210,1111905,6148568,36861,874837,5236870,417,2615004,,,4645886,,397435,9532403,9932979,6472751,3460228,0,3023678,0,56
25336481,210,1785,1948387,10658,592892,1344837,2592,1510886,,,441878,,277663,1899142,2475806,2440999,34807,0,28444,0,47
25472076,210,1316171,1711421,231006,1289272,191143,,872775,1087800,,1067017,,85870,4460045,4782593,4356822,425771,0,399616,0,38
25492677,210,57891,1870209,50338,175955,1643916,,748395,,,1179705,,490,3141803,3385298,2364374,1020924,0,863655,0,29
25713883,210,13777,235838,21,197985,37832,,224612,25003,,0,,,1141311,1157246,1157246,0,0,0,0,16
25725314,210,284689,3124536,51102,1047491,2025943,11000,1282410,,,2137815,,7182,5400167,5911095,4390483,1520612,0,1290001,0,34
25742072,210,996984,2557150,286413,140360,2117167,0,603624,0,0,2950510,0,1552561,3168498,3586467,2766628,819839,0,687317,0,31
27924739,210,387840,2798667,29037,2011834,757796,,1003916,,,2182591,,622524,4509799,5062146,3776742,1285404,0,1103491,0,27
30735390,6832,14947,752071,,516513,235558,,458449,,,308569,980400,,212464,214016,490020,0,276004,0,276004,5
31547777,8129,,25723,,11055,14668,,10359,,,15364,200,,119150,119160,118832,328,0,275,0,5
32371180,4120,23164,259447,0,144242,115205,0,462435,0,0,-179824,200,0,207746,207746,246123,0,38377,0,39248,0
32521937,210,414956,3725453,248755,166413,3310285,,541058,,,3599351,,,8013073,7869619,7198051,671568,0,564080,0,76
32740988,8010,35350,1056164,30248,899034,126882,,633765,,25000,432749,37369,,5752713,5755779,5438884,316895,0,264480,0,195
10863084,6820,2147081,2483136,136017,1718795,628324,11485,650726,697799,8000,3285177,343590,,4318712,5342313,5201499,140814,0,72218,0,
32782843,4941,5419795,3685779,202648,3413317,69814,10081,8156453,,,959202,200,,5238856,5677572,5300161,377411,0,325372,0,
32865035,3811,,58740,78,57140,1522,,45086,,,13654,10000,,0,0,1094,0,1094,0,1094,
505623,1107,44273769,31773259,7590894,9759397,14422968,185439,10732604,500667,458439,64540757,1149365,,101651701,105556439,94931317,10625122,0,9213029,0,369
512620,1071,21269182,10489850,4634486,2019451,3835913,47567,3904135,-7207,,27909671,7045087,,47579048,64421781,62220796,2200985,0,1805409,0,345
512825,2222,5564203,32264206,6326301,4175334,2250516,10920,2101892,18609,,35718828,142960,,28600764,29066322,24465035,4601287,0,3869534,0,113
523816,3109,20477753,22867870,13148326,9218013,501531,,6342351,636020,,36367252,1317742,,30168197,31700189,30922316,777873,0,664766,0,417
524625,4531,10216045,47375900,21418750,25749320,207830,53690,42124385,23756,,15497494,1000000,,100361504,101761064,94994839,6766225,0,5845092,0,81
525027,2511,10307553,5406562,2262903,2753830,389829,78593,27561514,142663,,-11911469,4555572,,11888173,11552354,15316417,0,3764063,0,3775553,
526790,1413,24700216,14422037,4925720,1195727,8300590,85072,2597753,0,0,36609572,4593750,0,38667746,42040323,43395705,0,1355382,0,1355382,973
527184,1721,21352126,20112617,4505922,15256429,350266,15990,16133178,0,0,25347555,15322,0,36539530,36946163,28983219,7962944,0,6725461,0,145
527397,3109,57681078,28014318,18980500,9007401,26417,12627,57978152,4505300,,23224571,180000,,89511847,97261946,96180602,1081344,0,904462,0,1217
529690,3109,20676566,20321991,15359907,2782949,2044012,437362,25953563,132575,,15349781,6000000,,31598398,36182860,35450066,732794,0,608959,0,197
538310,1011,8896727,16629244,4284033,11525655,819556,86049,15416039,2126771,20285,8048925,3000000,,75480071,81333323,80632674,700649,0,592844,0,140
546682,1330,11737502,22612388,3846783,4756630,14001996,34786,6037925,,,28346751,6846250,,24476199,43174183,30488619,12685564,0,12622135,0,362
556996,2599,25404701,18061522,4987291,1220299,11853932,1595,22602102,,,20865716,10000000,,28061871,27719269,21417694,6301575,0,5398597,0,130
557274,2712,12814774,13537070,8409404,5024534,103132,85043,5902448,,164388,20370051,1676538,,20562866,20683459,23024243,0,2340784,0,2340784,238
558580,4637,10400522,8934021,1940945,6232974,706345,951879,16556740,,19397,3710285,5781500,,37710591,38218695,37684129,534566,0,534566,0,74
559747,5510,74114498,1421402,331837,461184,600782,879573,15031010,313184,156138,60915141,47120843,,12120757,12579380,14674263,0,2094883,0,2257898,105
785078,1071,19052831,8545292,2333636,382310,5829346,201461,5329090,2368470,,20102024,875000,,77287030,99553126,92886102,6667024,0,5803973,0,296
788333,4649,17378774,908666,670996,231244,6426,,2314193,,,15973247,2544208,,1840173,1898616,2136251,0,237635,0,237635,9
789193,1413,7646939,15219478,3583223,3324458,3446582,74130,2058354,,529,20881664,454615,,25687843,26158355,23524537,2633818,0,2258078,0,333
789401,4931,57976816,15081625,992448,2436844,11652333,54433,15708660,251926,5692879,51459409,2541370,,38299292,38795493,36979330,1816163,0,404553,0,281
790600,4222,13849270,9629208,2155011,4837486,2636711,0,4359747,32771,0,19085960,1478678,0,20057489,25538929,24999929,539000,0,539000,0,136
803115,2599,12088888,37407779,16436687,7519833,13451259,18686,15859862,180760,2709568,30765163,6305295,,94835831,97999846,92154897,5844949,0,4871300,0,857
803727,2511,46313243,17365946,5602508,7953741,3809697,,43124811,2246597,7245750,11062031,61417980,,68405955,-25798189,31744672,0,57542861,0,57542861,144
807150,2712,5657946,8385791,3057019,5258015,70757,0,7032249,0,0,7011488,1353758,0,17301473,19430372,19259853,170519,0,150141,0,243
813526,2443,65908335,18208853,4433574,11504167,2271112,3621585,94378976,,,-6640203,66442865,,12099655,16016731,33524706,0,17507975,0,17507975,20
1090419,6820,21036114,14808688,110626,1798870,508987,4040,1154428,1779841,,32914573,4092577,,7249241,10404064,8969245,1434819,0,1235263,0,67
1093261,4752,16885725,14452106,8099711,4270446,2081949,16463,7421464,38333,,23894497,150000,,53373498,53474148,48606019,4868129,0,4169315,0,71
1093431,4321,5615916,21431736,936911,18069278,2425547,905195,14049974,241957,,13660916,101431,,26698657,26821023,26136083,684940,0,551714,0,139
1095130,3811,24672540,32304592,1630044,28202356,2472192,809306,32699609,2241,83920,25000668,5926228,,48000858,51431454,50022629,1408825,0,996008,0,544
1095637,7112,594064,126201,6278,115553,4370,354,679482,,,41137,199512,,145000,145000,150535,0,5535,0,5535,3
1098846,4632,10171704,26013235,17346406,8270029,396800,2755350,28263147,111111,,10566031,450000,,48670969,77171953,77416501,0,244548,0,259751,111
1101542,4211,2263291,10778122,2720126,4837991,3220005,0,25335476,,525015,-12819078,6514376,,16619008,12289136,23595134,0,11305998,0,11305998,137
1102041,5510,91659344,13279568,647466,1923685,10708417,768581,2963777,1055170,2328513,99360033,40320157,0,28974931,29620528,28129708,1490820,0,517838,0,275
1102556,4931,9776834,3206949,898076,1605457,703416,283706,10462540,464202,345204,1995543,6500590,0,59010376,59534227,60694358,0,1160131,0,1160131,817
1104107,4773,7499274,22902838,4244324,9543713,9114801,22638,11409934,16849,59000,18938967,971716,,54009794,54696512,52441440,2255072,0,2015325,0,135
1106817,1013,16888091,14357885,1351676,12495265,510944,,35883775,13563,,-4651362,750000,,43240127,45356150,45099442,256708,0,256708,0,186
1107049,2910,254366265,47239929,5305837,38576130,3357962,105420,152897248,127098,,148687268,308527086,,16365110,22190425,390986678,0,368796253,0,368796253,209
1109090,2312,8288297,8482389,914062,3370178,4198149,16540,3013075,,2630520,11143631,829336,,8578158,12294421,13212834,0,918413,0,996558,64
1109309,2573,15509415,13412737,4673053,8684188,55496,36477,1042685,,,27915944,4597005,,12686866,13165704,14354177,0,1188473,0,1188473,101
1109414,4673,9421471,13843659,9312581,4121972,408221,,8117779,,,15147351,16952,,37539104,38330680,35952819,2377861,0,2020279,0,60
1112290,2594,12981594,1350467,678539,376309,295619,450,12616238,392722,16551,1307000,13568408,0,1148155,1956855,2903237,0,946382,0,946382,11
1112568,1051,45633218,19048371,6677199,12126112,245060,634772,38499521,37627,10134,26769079,55796338,,93683179,96275241,94821597,1453644,0,1453644,0,293
1112878,3317,30569552,6973415,1856168,3943364,1173883,33134,9127130,,214589,28234382,11923375,,32969643,33206549,29321073,3885476,0,3336120,0,331
