CUI,CAEN,ACTIVE IMOBILIZATE - TOTAL,ACTIVE CIRCULANTE - TOTAL din care:,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI - TOTAL din care:,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profitul brut,Pierdere bruta,Profitul net,Pierdere neta,Numar mediu de salariati
13455578,3109,45767511,15210957,8512301,6677473,11880,169590,20803876,,,40344182,1400000,,24912781,27019553,30797496,0,3777943,0,3777943,154
13485820,2599,3823341,16096436,7812371,5533795,2750270,18153,7940788,2897459,,9099683,1980,,36681246,39389024,32872509,6516515,0,5571339,0,36
13526539,4941,16407382,6625076,219420,5696433,709223,,14950003,,103983,7978472,52070,,13021664,13662755,12521299,1141456,0,951862,0,58
13680154,2562,37550277,30411236,22062148,7041017,1308071,4273,87801277,4418020,340396,-24593907,6771000,0,78088955,83082262,93299274,0,10217012,0,10217012,251
13841617,4531,25146856,110980913,66585810,36317286,8077817,137944,99415048,,,36850665,300,,115475824,132295977,119265230,13030747,0,11222195,0,123
13909054,3109,7426181,6811938,1949570,4175006,687362,296409,11440971,,,3093557,50000,,17855542,17176995,16964638,212357,0,159482,0,154
14593668,3511,128013811,14578140,3561792,7437170,625047,50400,137644976,16588141,,-11590766,33595560,,39092581,41810374,98243214,0,56432840,0,56432840,255
14632325,3109,32737171,33775382,11753170,21576633,445579,43796,25273665,,559480,40723204,14700,,82263837,87664678,93213791,0,5549113,0,5549113,277
14822567,3821,33874403,8439396,360181,6607361,199110,261979,10670010,103067,8418688,23384013,2880700,,41806723,42757943,36147105,6610838,0,5578040,0,153
14867941,4941,8174778,8340381,158149,6887695,1294537,142114,5606823,,167906,10882544,163600,,22975375,24902222,22899595,2002627,0,1651125,0,58
14901245,1624,13603454,26693237,12023738,13076041,1593458,,8143817,,,32152874,400,,51999916,51653022,47617958,4035064,0,3441875,0,144
14989507,4120,10835604,9860182,3526860,6284392,48930,167092,11027591,,,9835287,3420,,22879076,25474677,24593682,880995,0,865745,0,77
15262107,2751,12927863,29335598,13001287,1628272,14479455,59125,11120299,,,31202287,35852,,64851270,65953394,63048231,2905163,0,2458213,0,281
15374348,4941,42911122,13710643,508867,11306393,1895383,4173636,61229639,,,-434238,100200,,65361358,70481596,70308389,173207,0,173207,0,143
15525831,4941,985578,11670163,,10935805,734358,189070,23667472,,,-10822661,552000,,56598065,57146199,58873393,0,1727194,0,1727194,85
15624380,1623,44426493,31239590,7857720,19142960,4238910,202141,6335814,4875,112812,69414723,49949090,,86752838,87954545,82661972,5292573,0,4532638,0,276
15751898,4673,14663936,23797772,12380523,5729991,5687258,20028,30357431,,40577,8083728,40000,,71610541,74116442,71542728,2573714,0,2228420,0,42
16117490,4621,10197764,15241763,7484433,6232948,1524382,,10776730,,,14662797,200,,81643808,81746937,78640117,3106820,0,2691378,0,29
16302838,2822,12569442,22786427,10315762,11070861,1399804,655695,35234514,,,777050,10813000,,52150287,51947526,53412019,0,1464493,0,1464493,103
16356935,4941,15324941,19493187,7591626,8977370,2924191,228668,23724674,875964,1652705,8793453,130000,,49446281,70663628,69768196,895432,0,798729,0,162
16420930,2612,12966685,17366289,1935754,6745723,8684812,,3594559,2588798,,24149617,525200,,23255608,24593604,20265930,4327674,0,3760446,0,122
17468643,9200,782231,2774520,24325,361106,2389089,,664540,,,2892211,30200,,11591514,11592333,8611249,2981084,0,2523431,0,48
17820471,2899,18053961,19164681,2885542,14527821,1751318,,24310843,1822603,1935864,9149332,1000,,39930218,38457969,36935560,1522409,0,1265314,0,177
